Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3FHgT06VfSAEBGAYLMDdXJ,"Mana Zina","Pobrecita","Mo Temsamani,Laila Chakir",2019-01-11,190588,34,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:37:02Z,"moroccan pop,rif","Mo Temsamani Music",0.808,0.769,1,-4.154,1,0.0427,0.199,0,0.0886,0.675,102.039,4
0eqhqGd7ejWc7Vaxhkv0pM,"Zine El Kebdani","Pobrecita","Mo Temsamani",2019-01-11,179417,24,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:37:24Z,"moroccan pop,rif","Mo Temsamani Music",0.708,0.841,9,-5.393,0,0.043,0.0124,0.00000932,0.172,0.917,103.011,4
3uSAxseAKNtru6wAx2XsGH,"Un Gaou à Oran","Cessa kié la vérité","113,Magic System,Mohamed Lamine",2006,209733,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:37:51Z,"french hip hop,old school rap francais,afropop,french pop,zouglou,deep rai,rai,rif","Parlophone France",0.592,0.956,6,-3.397,1,0.198,0.0265,0.0000138,0.576,0.932,127.927,4
2DLbzglDqzBvIfnW7PQLbB,"Nebghi Djini Bsurvet","Nebghi Djini Bsurvet","Aymane Serhani",2017-07-30,179361,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:38:18Z,"moroccan pop,rai,rif","Aymane Serhani",0.682,0.859,2,-2.713,0,0.105,0.381,0,0.384,0.848,102.127,4
7oVQKnlZEXd5u9trvrOn97,"Heta L9it Li Tebgini","Heta L9it Li Tebgini","Rachid Kasmi,ZIKO",2018-04-22,185477,44,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:38:45Z,"rif","Rachid Kasmi",0.771,0.902,1,-3.436,0,0.0618,0.164,0,0.108,0.799,132.016,4
1oHgXBoMi9EyKQDqhUjcrP,"Zinaoua","À la bien Mix Party 2019","DJ Hamida,Leila Chakir,Leck",2019-07-05,158053,45,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:39:45Z,"moroccan pop,rif","Meknessi Style Records",0.783,0.876,7,-5.021,0,0.161,0.0733,0,0.592,0.68,127.057,4
3hfx7im7wTzdBU9oe3VmAy,"Gar Gar Ya Zoubida","Gar Gar Ya Zoubida","Milouda El Hoceimia",2017-01-26,366027,0,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:39:55Z,"rif","Thaziri Music",0.649,0.853,6,-6.759,1,0.0398,0.0206,0.622,0.167,0.892,103.071,4
5iqrbO0fhuLMiy9tYGanv6,"C'est La Vie","C'est La Vie","Khaled",2012-05-17,225751,63,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:40:03Z,"classic arab pop,moroccan pop,rai","Cz Sounds Rec.",0.616,0.933,0,-3.762,0,0.0513,0.0259,0,0.359,0.806,129.952,4
1CVeb89xRihPw2YQa4PnSZ,"Wesh Hada - Version 2021","Sunshine","DJ Hamida,Hassan Twil",2021-07-09,191120,36,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:40:24Z,"moroccan pop,rif","Meknessi Style Records",0.81,0.72,7,-5.05,1,0.0643,0.0602,0.00000526,0.251,0.687,123.985,4
5IJRqarA4QIc2qAw74mYo9,"Ghazali (feat. Bryan Mg)","Ghazali (feat. Bryan Mg)","DYSTINCT,Bryan Mg",2022-06-03,184661,55,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:40:39Z,"belgian hip hop,rap belge,dutch hip hop,dutch rap pop","Avalon Music",0.598,0.654,7,-8.31,0,0.0565,0.486,0.0000097,0.101,0.536,179.853,3
7J6Tji7L7DFGC5Emxbg1XK,"Hayya Jat Hdnao","Arassiates, Vol. 3","Jalal El Hamdaoui",2015,157336,34,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:42:02Z,"moroccan pop,rif","Independent",0.643,0.978,2,-5.801,0,0.0785,0.135,0.0000101,0.393,0.96,111.018,3
6wjcICJX8qN9tLqO8fo4jt,"Lala Laâroussa Ya Nouara","Arrassiates, Volume 2","Jalal El Hamdaoui",2000,103800,29,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:42:14Z,"moroccan pop,rif","Fassiphone",0.599,0.967,4,-6.543,0,0.0744,0.0442,0.00000857,0.523,0.932,111.031,3
0nwdJH23WTduSd8d7p76QI,"Jay Ala Awdou","Arrassiates","Jalal El Hamdaoui",2000,194226,25,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:42:30Z,"moroccan pop,rif","Fassiphone",0.378,0.664,10,-11.713,0,0.061,0.163,0.0000683,0.203,0.81,108.861,3
5imFISN10GipEa7OtQpWfW,"Laâroussa fi âr allah","Le Mariage Marocain Vol. 4","Jalal El Hamdaoui",2015-04-14,236093,30,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:42:43Z,"moroccan pop,rif","Fassiphone",0.598,0.782,0,-11.128,1,0.0513,0.0274,0.00723,0.0776,0.63,139.957,4
4YS5l1l4NMNDYuy5SYckxK,"Kolchi Dialek","Marjana - Reggadiates Volume 4","Jalal El Hamdaoui",2000,127200,1,myo20ysxpfrjcs3hesgkcs93f,2024-10-29T23:43:33Z,"moroccan pop,rif","Fassiphone",0.686,0.947,8,-4.628,0,0.101,0.0362,0,0.316,0.654,100.072,4
